Wall time,Step,Value
1590171141.596783,0,-0.8391640782356262
1590179549.7202888,1,-1.267107367515564
1590187992.2241066,2,-2.3563106060028076
1590196475.7077456,3,-2.9304025173187256
1590205208.1659007,4,-3.2987923622131348
1590213754.999119,5,-3.570439577102661
1590222270.7815225,6,-3.769653081893921
1590230829.2178135,7,-3.934326171875
1590239335.501808,8,-4.067821025848389
1590247900.1284535,9,-4.180304527282715
1590256530.7910886,10,-4.27099609375
1590265201.057312,11,-4.356437683105469
1590273848.956903,12,-4.414514064788818
1590282524.3113456,13,-4.471597194671631
1590291191.945843,14,-4.533022403717041
1590299719.1336095,15,-4.613983631134033
1590308247.3528204,16,-4.606818675994873
1590316786.3403704,17,-4.699146270751953
1590325359.976415,18,-4.702961444854736
1590333945.6148117,19,-4.7691802978515625
1590342563.7385416,20,-4.7928314208984375
1590350898.2352436,21,-4.813885688781738
1590358986.7539308,22,-4.854499816894531
1590367114.864373,23,-4.891362190246582
1590375227.2992988,24,-4.957047939300537
1590383345.8029783,25,-4.946815490722656
1590391662.1572893,26,-4.948483467102051
1590400246.0728858,27,-4.94094705581665
1590408825.5091362,28,-4.96931791305542
1590417398.838084,29,-4.993770599365234
1590425879.63806,30,-5.260373115539551
1590434305.3180225,31,-5.347568988800049
1590442713.9315844,32,-5.392463684082031
1590451127.4982195,33,-5.430748462677002
1590459558.3152616,34,-5.459969997406006
1590467966.5546653,35,-5.487880229949951
1590476400.7132654,36,-5.510198593139648
1590484806.3389454,37,-5.525938510894775
1590493237.3815536,38,-5.54622220993042
1590501759.535608,39,-5.561721324920654
1590510351.4325063,40,-5.581552028656006
1590518740.8359747,41,-5.586426734924316
1590527149.3624055,42,-5.588193416595459
1590535555.227368,43,-5.59096097946167
1590543901.644594,44,-5.5895280838012695
1590552260.190044,45,-5.594716548919678
1590560750.6980565,46,-5.5962138175964355
1590569129.7857313,47,-5.595590591430664
1590577665.2484736,48,-5.594724178314209
1590586222.3582869,49,-5.593490123748779
